iter	Passed	Remaining
0	1	1936
1	3	1805
2	5	1681
3	6	1637
4	8	1593
5	9	1588
6	11	1588
7	12	1581
8	14	1558
9	15	1563
10	17	1555
11	19	1578
12	20	1557
13	22	1550
14	23	1530
15	24	1522
16	25	1500
17	27	1496
18	28	1490
19	30	1510
20	31	1489
21	33	1489
22	35	1490
23	36	1484
24	38	1484
25	39	1485
26	41	1489
27	42	1486
28	44	1494
29	46	1508
30	48	1513
31	50	1520
32	51	1520
33	53	1514
34	55	1519
35	56	1512
36	58	1518
37	59	1515
38	61	1521
39	63	1532
40	65	1539
41	67	1538
42	69	1539
43	70	1533
44	72	1533
45	73	1534
46	75	1533
47	77	1531
48	78	1530
49	80	1526
50	81	1523
51	83	1522
52	85	1520
53	86	1513
54	88	1515
55	89	1513
56	91	1512
57	93	1518
58	95	1523
59	97	1528
60	99	1529
61	100	1527
62	102	1524
63	104	1524
64	106	1528
65	107	1524
66	109	1522
67	110	1519
68	112	1517
69	114	1514
70	115	1513
71	117	1512
72	119	1513
73	121	1514
74	122	1513
75	124	1513
76	126	1513
77	127	1511
78	129	1510
79	131	1512
80	133	1509
81	134	1507
82	136	1507
83	138	1507
84	140	1507
85	141	1507
86	143	1505
87	145	1503
88	146	1500
89	148	1498
90	149	1496
91	151	1494
92	153	1493
93	154	1492
94	156	1486
95	157	1484
96	159	1481
97	160	1476
98	162	1476
99	163	1474
100	164	1466
101	166	1465
102	168	1463
103	169	1462
104	171	1461
105	172	1457
106	174	1454
107	175	1452
108	177	1451
109	179	1449
110	180	1444
111	182	1443
112	183	1443
113	185	1441
114	187	1440
115	188	1437
116	189	1433
117	191	1429
118	192	1427
119	194	1425
120	195	1423
121	197	1422
122	199	1420
123	200	1418
124	202	1417
125	204	1416
126	205	1414
127	207	1413
128	208	1409
129	210	1408
130	212	1407
131	213	1407
132	215	1406
133	217	1404
134	218	1402
135	220	1401
136	222	1400
137	223	1398
138	225	1397
139	227	1396
140	229	1397
141	231	1396
142	232	1394
143	234	1391
144	235	1389
145	237	1386
146	238	1384
147	240	1382
148	241	1379
149	242	1376
150	244	1375
151	246	1373
152	247	1372
153	249	1371
154	251	1369
155	252	1367
156	254	1366
157	256	1365
158	258	1364
159	259	1362
160	261	1362
161	263	1360
162	264	1359
163	266	1358
164	268	1357
165	269	1355
166	271	1354
167	273	1353
168	275	1353
169	276	1352
170	278	1350
171	280	1349
172	282	1348
173	283	1346
174	285	1344
175	287	1344
176	288	1343
177	290	1343
178	292	1341
179	294	1339
180	295	1337
181	297	1336
182	298	1334
183	300	1332
184	302	1330
185	303	1328
186	305	1328
187	306	1324
188	308	1323
189	310	1321
190	311	1320
191	313	1319
192	315	1318
193	316	1316
194	318	1314
195	320	1313
196	321	1312
197	323	1310
198	325	1308
199	326	1305
200	328	1304
201	329	1301
202	331	1299
203	332	1295
204	334	1295
205	335	1294
206	337	1293
207	339	1293
208	341	1293
209	343	1293
210	345	1291
211	347	1291
212	348	1289
213	350	1287
214	352	1286
215	353	1284
216	355	1283
217	357	1281
218	358	1279
219	360	1277
220	362	1276
221	363	1274
222	365	1273
223	367	1272
224	368	1270
225	370	1268
226	372	1267
227	373	1265
228	375	1263
229	376	1261
230	378	1259
231	379	1257
232	381	1256
233	383	1254
234	384	1253
235	386	1250
236	387	1248
237	389	1246
238	390	1244
239	392	1242
240	393	1238
241	394	1236
242	396	1234
243	397	1233
244	399	1231
245	401	1229
246	402	1227
247	403	1225
248	405	1222
249	406	1220
250	408	1218
251	409	1216
252	411	1214
253	412	1212
254	414	1210
255	415	1208
256	417	1206
257	418	1204
258	420	1202
259	422	1201
260	423	1199
261	425	1198
262	426	1196
263	428	1194
264	430	1192
265	431	1191
266	433	1188
267	434	1186
268	436	1185
269	437	1183
270	438	1180
271	440	1178
272	441	1177
273	443	1175
274	445	1173
275	446	1172
276	448	1169
277	449	1168
278	452	1168
279	453	1167
280	455	1166
281	457	1164
282	459	1163
283	461	1162
284	462	1160
285	464	1159
286	466	1157
287	467	1156
288	469	1154
289	470	1153
290	472	1152
291	474	1150
292	476	1148
293	477	1147
294	479	1145
295	481	1144
296	482	1142
297	484	1140
298	485	1139
299	487	1136
300	488	1134
301	490	1133
302	491	1131
303	493	1130
304	495	1128
305	496	1127
306	498	1125
307	500	1123
308	501	1122
309	503	1120
310	504	1118
311	506	1117
312	508	1115
313	509	1114
314	511	1112
315	513	1110
316	514	1108
317	516	1106
318	517	1105
319	519	1103
320	520	1101
321	522	1099
322	523	1098
323	525	1096
324	526	1094
325	528	1092
326	529	1090
327	531	1088
328	532	1086
329	533	1084
330	535	1082
331	536	1080
332	538	1078
333	540	1076
334	541	1073
335	542	1072
336	543	1070
337	545	1068
338	547	1066
339	548	1064
340	550	1063
341	551	1061
342	553	1059
343	554	1058
344	556	1056
345	557	1054
346	559	1052
347	560	1050
348	562	1048
349	563	1046
350	565	1045
351	566	1043
352	568	1042
353	570	1040
354	571	1038
355	573	1037
356	574	1035
357	576	1034
358	578	1032
359	579	1030
360	581	1028
361	582	1027
362	584	1025
363	586	1023
364	587	1022
365	589	1020
366	590	1019
367	592	1017
368	593	1015
369	595	1014
370	597	1012
371	598	1010
372	600	1009
373	602	1007
374	603	1006
375	605	1004
376	606	1002
377	608	1001
378	609	999
379	611	997
380	612	995
381	614	993
382	615	992
383	617	990
384	619	989
385	620	987
386	622	985
387	623	984
388	625	982
389	627	981
390	629	980
391	630	978
392	632	976
393	633	974
394	635	972
395	636	970
396	638	969
397	639	967
398	641	966
399	642	963
400	644	962
401	645	960
402	647	959
403	649	957
404	650	956
405	652	954
406	654	953
407	655	951
408	657	950
409	659	948
410	660	946
411	662	945
412	664	943
413	665	942
414	667	940
415	668	938
416	670	937
417	671	935
418	673	933
419	675	932
420	676	930
421	678	929
422	680	927
423	681	926
424	683	924
425	684	922
426	686	920
427	687	918
428	688	916
429	690	915
430	691	913
431	693	911
432	694	909
433	696	907
434	697	906
435	699	904
436	700	902
437	702	901
438	704	899
439	705	898
440	707	896
441	709	895
442	710	893
443	712	892
444	714	890
445	716	889
446	717	887
447	719	886
448	720	884
449	722	883
450	724	882
451	726	880
452	728	879
453	731	879
454	733	878
455	734	876
456	736	875
457	738	873
458	740	872
459	741	870
460	743	869
461	745	867
462	746	865
463	748	864
464	749	862
465	751	861
466	752	859
467	754	857
468	756	855
469	757	854
470	759	852
471	760	850
472	762	849
473	763	847
474	765	846
475	766	844
476	768	842
477	770	841
478	771	839
479	773	837
480	774	835
481	776	834
482	777	832
483	779	830
484	781	829
485	782	827
486	784	826
487	785	824
488	787	822
489	789	821
490	790	819
491	792	818
492	794	816
493	795	815
494	797	813
495	798	811
496	800	810
497	802	808
498	803	807
499	805	805
500	807	804
501	809	802
502	811	801
503	812	799
504	814	797
505	815	796
506	817	794
507	818	792
508	820	791
509	822	789
510	823	787
511	824	786
512	826	785
513	828	783
514	830	782
515	832	780
516	834	779
517	835	777
518	837	775
519	838	774
520	840	772
521	842	771
522	844	769
523	845	768
524	847	766
525	848	765
526	851	763
527	853	762
528	855	761
529	856	759
530	858	758
531	860	756
532	862	755
533	863	753
534	865	752
535	867	750
536	868	749
537	870	747
538	872	746
539	874	744
540	875	743
541	877	741
542	878	739
543	880	737
544	881	736
545	883	734
546	884	732
547	886	731
548	888	729
549	889	727
550	891	726
551	892	724
552	894	723
553	896	721
554	897	719
555	899	718
556	900	716
557	902	714
558	903	713
559	905	711
560	906	709
561	908	707
562	909	705
563	910	704
564	912	702
565	913	700
566	914	698
567	916	697
568	918	695
569	919	693
570	920	691
571	922	690
572	923	688
573	925	686
574	926	685
575	928	683
576	929	681
577	931	679
578	932	678
579	934	676
580	936	675
581	937	673
582	938	671
583	940	669
584	941	668
585	943	666
586	945	665
587	947	663
588	948	661
589	950	660
590	951	658
591	953	656
592	954	655
593	956	653
594	957	651
595	958	649
596	960	648
597	961	646
598	963	645
599	965	643
600	966	641
601	967	639
602	969	638
603	970	636
604	972	634
605	973	633
606	975	631
607	977	630
608	978	628
609	980	626
610	981	625
611	983	623
612	984	621
613	986	620
614	987	618
615	988	616
616	990	614
617	991	612
618	993	611
619	995	609
620	996	608
621	998	606
622	999	604
623	1000	603
624	1002	601
625	1003	599
626	1005	598
627	1006	596
628	1008	594
629	1009	593
630	1011	591
631	1013	589
632	1014	588
633	1016	586
634	1018	585
635	1019	583
636	1021	582
637	1023	580
638	1026	579
639	1028	578
640	1030	576
641	1031	575
642	1033	573
643	1034	572
644	1036	570
645	1038	568
646	1039	567
647	1041	565
648	1043	564
649	1045	562
